so_number,stage_name,defect_reason,qty_reject,unit_cost_loss,total_loss,_REKONSILIASI
SO-MG260078,EMBROIDERY_DEFECT,CACAT BORDIR - BROWN,3,110000.0,330000.0,OK - ada di prod
SO-MG260087,EMBROIDERY_DEFECT,CACAT BORDIR - WHITE,1,115000.0,115000.0,OK - ada di prod
SO-MG260163,EMBROIDERY_DEFECT,CACAT BORDIR - BLUE,3,110000.0,330000.0,OK - ada di prod
SO-MG260166,EMBROIDERY_DEFECT,CACAT BORDIR - BEIGE,3,110000.0,330000.0,OK - ada di prod
SO-MG260165,EMBROIDERY_DEFECT,CACAT BORDIR - BROWN,3,110000.0,330000.0,OK - ada di prod
SO-MG260162,EMBROIDERY_DEFECT,CACAT BORDIR - BLACK,1,110000.0,110000.0,OK - ada di prod
